state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
VIC,D,5,HARRINGTON,Mick,Liberal/The Nationals,The Nationals
VIC,D,6,BURGESS,David,Liberal/The Nationals,Liberal
VIC,E,1,SMITH,Elissa,Legalise Cannabis Australia,Legalise Cannabis Australia
VIC,E,2,TAYLOR,Wayne,Legalise Cannabis Australia,Legalise Cannabis Australia
VIC,F,1,WEARNE,Madeleine,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
VIC,F,2,LONG,Robert,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
VIC,G,1,BURSON,Chris,Australian Values Party,Australian Values Party
VIC,G,2,ASSER,Samantha,Australian Values Party,Australian Values Party
VIC,H,1,HINCH,Derryn,Derryn Hinch's Justice Party,Derryn Hinch's Justice Party
VIC,H,2,STANFIELD,Ruth,Derryn Hinch's Justice Party,Derryn Hinch's Justice Party
VIC,I,1,CURRIE,Bronwyn,Animal Justice Party,Animal Justice Party
VIC,I,2,DELFORCE,Chris,Animal Justice Party,Animal Justice Party
VIC,J,1,PITT,Antoinette,Australian Progressives,Australian Progressives
VIC,J,2,KNIGHT,David,Australian Progressives,Australian Progressives
VIC,K,1,WHITE,Linda,Australian Labor Party,Australian Labor Party
VIC,K,2,STEWART,Jana,Australian Labor Party,Australian Labor Party
VIC,K,3,NUNN,Casey,Australian Labor Party,Australian Labor Party
VIC,K,4,BRIDGER-DARLING,Megan,Australian Labor Party,Australian Labor Party
VIC,K,5,McFARLANE,Josh,Australian Labor Party,Australian Labor Party
VIC,L,1,BABET,Ralph,United Australia Party,United Australia Party
VIC,L,2,MORAN,Kelly,United Australia Party,United Australia Party
VIC,L,3,GRIMMOND,Kenneth,United Australia Party,United Australia Party
VIC,M,1,DANCE,Felix,Socialist Alliance,Socialist Alliance
VIC,M,2,CARR,Angela,Socialist Alliance,Socialist Alliance
VIC,N,1,HUGHES,Vern,Australian Federation Party,Australian Federation Party
VIC,N,2,KIM,Karen,Australian Federation Party,Australian Federation Party
VIC,N,3,LACEY,Cheryl,Australian Federation Party,Australian Federation Party
VIC,N,4,MARA,Chris,Australian Federation Party,Australian Federation Party
VIC,N,5,SEWAK,Neerja,Australian Federation Party,Australian Federation Party
VIC,N,6,O'CONNELL,Mark,Australian Federation Party,Australian Federation Party
VIC,O,1,CONSTANTINOU,Ethan,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
VIC,O,2,BOURMAN,Nicole,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
VIC,P,1,PICKERING,Warren,Pauline Hanson's One Nation,Pauline Hanson's One Nation
VIC,P,2,HUXHAM,Stuart,Pauline Hanson's One Nation,Pauline Hanson's One Nation
VIC,Q,1,BARWICK,Robbie,Citizens Party,Citizens Party
VIC,Q,2,ISHERWOOD,Craig,Citizens Party,Citizens Party
VIC,R,1,JONAS,Morgan C,,
VIC,R,2,SMIT,Monica,,
VIC,S,1,CORDNER HUNT,Kammy,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
VIC,S,2,FARRANT,Tahlia,"FUSION: Science, Pirate, Secular, Climate Emergency","FUSION: Science, Pirate, Secular, Climate Emergency"
VIC,T,1,BENEDYKA,Susan,,
VIC,T,2,RICHARDS,Christine,,
VIC,U,1,THORPE,Lidia,The Greens,The Greens
VIC,U,2,FROGLEY,Adam,The Greens,The Greens
VIC,U,3,AUSTIN,Sissy,The Greens,The Greens
VIC,U,4,PAYNE,Zeb,The Greens,The Greens
VIC,V,1,O'BRYAN,Darryl,The Great Australian Party,The Great Australian Party
VIC,V,2,WHITEHEAD,Geoff,The Great Australian Party,The Great Australian Party
VIC,W,1,LIMBRICK,David,Liberal Democrats,Liberal Democrats
VIC,W,2,MITCHELL,Krystle,Liberal Democrats,Liberal Democrats
VIC,W,3,WHITE,Caroline,Liberal Democrats,Liberal Democrats
VIC,X,1,CLONARIDIS,Nick,Informed Medical Options Party,Informed Medical Options Party
VIC,X,2,CURNOW,Robyn,Informed Medical Options Party,Informed Medical Options Party
VIC,Y,1,BYRNE,Peter,,
VIC,Y,2,WARDLE,Jason,,
VIC,Z,1,MYLVAGANAM,Aran,Victorian Socialists,Victorian Socialists
VIC,Z,2,RICCARDI,Laura,Victorian Socialists,Victorian Socialists
VIC,UG,1,FLOYD,Glenn,,Independent
VIC,UG,2,RIDGEWAY,Allen,,Independent
VIC,UG,3,BOND,James,,Independent
VIC,UG,4,SMITH,Neal,,Independent
VIC,UG,5,DICKS,Max,,Independent
VIC,UG,6,ATKINSON,Bernardine,,Independent
VIC,UG,7,ROSS,Paul,,Independent
VIC,UG,8,DE FRANCESCO,Nat,,Independent
VIC,UG,9,TOSCANO,Joseph,,Independent
VIC,UG,10,TRAN,Tara,,Independent
VIC,UG,11,DILLON,David John,,Independent
VIC,UG,12,GONSALVEZ,Geraldine Marie Antoinette,,Independent
WA,A,1,COX,Dorinda,The Greens (WA),The Greens (WA)
WA,A,2,CLARKE,River,The Greens (WA),The Greens (WA)
WA,A,3,COLLINS,Simone,The Greens (WA),The Greens (WA)
WA,A,4,CLARKE,Donald,The Greens (WA),The Greens (WA)
WA,A,5,CAHILL,Jordan,The Greens (WA),The Greens (WA)
WA,A,6,WALLACE,Alex,The Greens (WA),The Greens (WA)
WA,B,1,CRICHTON,Mike,Australian Christians,Australian Christians
WA,B,2,GROENEWALD,Maryka,Australian Christians,Australian Christians
WA,C,1,McDONALD,James,United Australia Party,United Australia Party
WA,C,2,FORSTER,Rob,United Australia Party,United Australia Party
WA,D,1,LINES,Sue,Australian Labor Party,Australian Labor Party
WA,D,2,STERLE,Glenn,Australian Labor Party,Australian Labor Party
WA,D,3,PAYMAN,Fatima,Australian Labor Party,Australian Labor Party
WA,D,4,HELPS,Vicki,Australian Labor Party,Australian Labor Party
WA,E,1,OBORN,Karen,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
WA,E,2,OOSTRYCK,Ryan,Sustainable Australia Party - Stop Overdevelopment / Corruption,Sustainable Australia Party - Stop Overdevelopment / Corruption
WA,F,1,MITCHELL,Elana,Australian Democrats,Australian Democrats
WA,F,2,SIMSON,Simon,Australian Democrats,Australian Democrats
